"id","name","image_url"
"1","Basecamp","https://help.basecamp.com/images/logo-bc.png"
"2","Loom","https://ik.imagekit.io/himalayas/loom_logo_o7hg-nhEV.png"
"3","monday.com","https://dapulse-res.cloudinary.com/image/upload/f_auto,q_auto/remote_mondaycom_static/img/monday-logo-x2.png"
