"id","product_id","gallery_position","url"
"","1","1","https://www.youtube.com/watch?v=FZHKb7gCBL4"
"","2","1","https://youtu.be/CFzvA1dEvd8?t=1057"
"","3","1","https://www.youtube.com/watch?v=11pfvBNsXkA"
"","4","1","https://youtu.be/NQH38nzPLIk"
"","5","1","https://www.youtube.com/watch?v=upDNs9nqxfM"
"","5","2","https://www.youtube.com/watch?v=nYUR-o--X8A"
"","6","1","https://www.youtube.com/watch?v=1-A68Tub_k8"
"","7","1","https://www.youtube.com/watch?v=a8xzlFTMtYs"
"","8","1","https://www.youtube.com/watch?v=pJVONoru5ZI"
